,tractid,year,ID,annual_id,Business_name,NEW_CATEGORY_1,symbol_1,symbol_2,symbol_3,symbol_4,symbol_5,symbol_6,symbol_7,symbol_8,symbol_9,symbol_10,symbol_11,symbol_12,symbol_13,symbol_14,symbol_15,symbol_16,symbol_17,symbol_18,symbol_19,symbol_20,symbol_21,symbol_22,symbol_23,symbol_24,symbol_25,symbol_26,symbol_27,symbol_28,symbol_29,symbol_30,symbol_31,symbol_32,symbol_33,symbol_34,symbol_35,symbol_36,phone_1,phone_2,phone_3,phone_4,phone_5,phone_6,address,harmonized_address,NEW_CITY,NEW_COUNTY,State,NEW_STATE,ZIP,FIPS,Area,Email,www,Fax,Location,Text,_ALL_M_,_ALL_W_,_ACC_PRE_HELP_,_ACC_PRE_LAVE_,_AFRICAN_,_ASIAN_,_ASK_ABOUT_PETS_,_B_R_,_BISE1UAL_P_,_BISE1UAL_W_,_CAFE_,_CALL_AHEAD_,_CLOTH_OPT_,_COUNTRY_,_DANCING_,_DIVERSE_,_IND_SMO_AREA_,_INTERNET_,_KARAOKE_,_LATIN_,_LEATHER_,_NO_SMOKE_,_PEOPLE_COLOR_,_PETS_WEL_,_PREMISES_,_PREMISES_HELP_,_PRIV_CLUB_,_REST_,_SPORT_BAR_,_TRANSSE1UAL_,_TWO_SPIRIT_,_VIDEO_BAR_,_WESTERN_,_GBTQI_M_1,_GLBTQI_P_1,geocoded_county,match_distance,geocode_type,geoauth,geometry,geometry_location_type,STATEFP10,COUNTYFP10,TRACTCE10,NAME10,NAMELSAD10,AWATER10,INTPTLAT10,INTPTLON10,GISJOIN,Shape_area,Shape_len,hhi_biz,gayown,gayaud,core,exploit,entrep,waffle,countyfips,cbsa,cbsa_name,micropolitan,outlying,city_fips,city,citypop10,in_pc,gentiable_free90,gentiable_free00,gentiable_free10,gent_free9000,gent_free0010,gent_free9010,gent_free9018,gent_free9019,gent_free0018,gent_free0019,gent_free1018,gent_free1019,gent_ellen9000,gent_ellen9010,gent_ellen9018,gent_ellen9019,gent_ellen0010,gent_ellen0018,gent_ellen0019,gent_ellen1018,gent_ellen1019,asian,col,hhs,hinc,hisp,hu,mhmval,mrent,msa_college,msa_income,nhblk,nhwht,othrace,p20old,pasian,pcol,phisp,pnhblk,pnhwht,pop,pothrace,ppov,prenter,punemp,same_female_pct,same_male_pct,same_female,same_male,same_sex_pct,same_sex,unemp,gayown_neigh,gayaud_neigh,core_neigh,exploit_neigh,entrep_neigh,waffle_neigh,total_biz,pct_gayown,pct_gayaud,pct_core,pct_exploit,pct_entrep,pct_waffle,ALAND10,popdens,org_cat,pct_economy,pct_religion,pct_movement,pct_health,pct_cultural,pct_law,hhi_domain,diffloc_tel,dup_tract,relocated,before_tract,bar,bar2,rac_min,gen_min,non_main,top25,top26to50,gayborhood91,gayborhood_spring91
1,25011041300,2018,1000_000017,2018_216_06712,WORLD EYE BOOKSHOP,BOOKSTORES,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137722186,NA,NA,NA,NA,NA,"134 Main St, Greenfield, Massachusetts",NA,NA,Franklin County,MASSACHUSETTS,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(1889274.03042213, 803597.272566717)",ROOFTOP,25,11,41300,413,Census Tract 413,25299,42.5898923,-72.6024994,G2500110041300,2401404.877,7900.887332,0.375,0,0,0,0,0,1,25011,24640,"Greenfield Town, MA",Micropolitan Statistical Area,Central,2527100,Greenfield Town,17456,1,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,997,2453,25138.5728,326,2588,116082.56,654.368,32.72257095,46093.8368,105,4024,149,100,0,28.45319635,7.080799305,2.280625543,87.40225891,4604,3.236316247,16.69588081,70.36282104,10.23076923,0,0,0,0,0,0,266,1,1,1,0,0,3,4,25,25,25,0,0,75,2376111,0.00193762,economy,75,0,25,0,0,0,62.5,1,NA,0,25011041300,0,0,0,0,0,0,0,0,0
2,25011041300,2019,1000_000017,2019_284_14761,WORLD EYE BOOKSHOP,BOOKSTORES,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137722186,NA,NA,NA,NA,NA,"134 Main St, Greenfield, Massachusetts",NA,NA,Franklin County,MASSACHUSETTS,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(1889274.03042213, 803597.272566717)",ROOFTOP,25,11,41300,413,Census Tract 413,25299,42.5898923,-72.6024994,G2500110041300,2401404.877,7900.887332,0.25,0,0,0,0,0,1,25011,24640,"Greenfield Town, MA",Micropolitan Statistical Area,Central,2527100,Greenfield Town,17456,1,NA,NA,NA,0,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,979,4656,29656.4808,271,2682,114342.16,702.62,NA,NA,105,4188,161,99.32885906,0,26.86608123,5.735449735,2.222222222,88.63492063,4725,3.407407407,15.83191851,68.16390859,8.012326656,0,0,0,0,0,0,208,2,2,2,0,0,2,4,50,50,50,0,0,50,2376111,0.001988543,economy,75,0,25,0,0,0,62.5,1,NA,0,25011041300,0,0,0,0,0,0,0,0,0
3,25001010100,2019,1000_000018,2019_026_04081,WOMENCRAFTS,"GIFTS, CARDS, PRIDE, ETC.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5084872501,NA,NA,NA,NA,NA,"376 Commercial St, Provincetown, Massachusett",NA,NA,Barnstable County,MASSACHUSETTS,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(2096188.22878562, 796652.144405837)",ROOFTOP,25,1,10100,101,Census Tract 101,12766243,42.0598291,-70.2004073,G2500010010100,26092278.86,42758.21702,0.363875433,1,1,1,0,0,0,25001,12700,"Barnstable Town, MA",Metropolitan Statistical Area,Central,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1480,2961,43682.9948,124,4680,445165.24,923.0208,37.34418619,54978.9056,57,2662,95,87.92735043,1.177262025,54.7742413,4.170871174,1.917255298,89.53918601,2973,3.195425496,10.47812818,21.4453584,7.373020208,0.008389058,0.022681527,24.84,67.16,3.107058426,92,135,24,24,24,0,0,61,85,28.23529412,28.23529412,28.23529412,0,0,71.76470588,25047886,0.000118693,economy,91.76470588,0,2.352941176,3.529411765,2.352941176,0,84.44290657,0,NA,0,NA,0,0,0,0,0,0,0,0,1
4,17031030800,2018,1000_000034,2018_019_00422,WOMEN  CHILDREN FIRST,BOOKSTORES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7737699299,NA,NA,NA,NA,NA,"5233 N Clark St, Chicago, Illinois",NA,NA,Cook County,ILLINOIS,IL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(684776.275069693, 531620.959298623)",ROOFTOP,17,31,30800,308,Census Tract 308,0,41.9799123,-87.664188,G1700310030800,567411.7437,3054.542889,0.224489796,1,1,1,0,0,0,17031,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,1714000,Chicago,2695598,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,2675,1949,69919.0272,612,2149,381159.68,1074.8672,32.89034301,53212.896,169,3147,66,99.44160074,9.061930783,73.69146006,13.93442623,3.847905282,71.65300546,4392,1.50273224,8.868283405,55.36172396,4.924971143,1.282709082,4.669061057,25,91,5.951770139,116,128,2,2,2,0,0,5,7,28.57142857,28.57142857,28.57142857,0,0,71.42857143,567414,0.00774038,economy,57.14285714,0,28.57142857,0,14.28571429,0,42.85714286,0,NA,0,NA,0,0,0,0,0,1,0,0,0
5,17031030800,2019,1000_000034,2019_021_03387,WOMEN  CHILDREN FIRST,BOOKSTORES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7737699299,NA,NA,NA,NA,NA,"5233 N Clark St, Chicago, Illinois",NA,NA,Cook County,ILLINOIS,IL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(684776.275069693, 531620.959298623)",ROOFTOP,17,31,30800,308,Census Tract 308,0,41.9799123,-87.664188,G1700310030800,567411.7437,3054.542889,0.18,1,1,1,0,0,0,17031,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,1714000,Chicago,2695598,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,2666,3975,70770.8448,469,2184,399975.68,1037.6588,32.6952631,53081.092,126,3086,90,99.26739927,9.546653874,75.97606156,11.24970017,3.022307508,74.02254737,4169,2.158791077,8.247681123,55.12820513,3.150211295,0.005096508,0.01855129,20.25862069,73.74137931,2.364779874,94,82,6,6,6,0,0,4,10,60,60,60,0,0,40,567414,0.007347369,economy,70,0,20,0,10,0,54,0,NA,0,NA,0,0,0,0,0,1,0,0,0
6,6045010400,2019,1000_000038,2019_133_00492,WINDSONG USED BOOKS  RECORDS,BOOKSTORES: USED,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7079642050,NA,NA,NA,NA,NA,"324 N Main St, Fort Bragg, California",NA,NA,Mendocino County,CALIFORNIA,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-2337504.88995034, 562399.180352119)",ROOFTOP,6,45,10400,104,Census Tract 104,2669928,39.4499078,-123.8051687,G0600450010400,7281087.335,20036.13713,0.25,0,0,0,0,0,1,6045,46380,"Ukiah, CA",Micropolitan Statistical Area,Central,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,628,3152,36871.2788,616,1601,264702.84,832.7896,21.02253044,38027.2736,33,2390,177,90.56839475,1.831501832,26.64403903,18.8034188,1.007326007,72.95482295,3276,5.402930403,17.91819292,54.08163265,8.141702921,0.00285533,0,9,0,0.285532995,9,131,2,2,2,0,0,2,4,50,50,50,0,0,50,7114083,0.000460495,economy,100,0,0,0,0,0,100,0,NA,0,NA,0,0,0,0,0,0,0,0,0
7,6081612500,2018,1000_000072,2018_119_03572,KEPLERS BOOKS,BOOKSTORES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6503244321,NA,NA,NA,NA,NA,"1010 El Camino Real, Menlo Park, California",NA,NA,San Mateo County,CALIFORNIA,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-2265297.39899168, 308843.254127938)",ROOFTOP,6,81,612500,6125,Census Tract 6125,0,37.455699,-122.177794,G0600810612500,1988514.814,8737.086106,1,1,1,1,0,0,0,6081,41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,Central,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,2674,1824,116952.2112,541,2102,1507292.16,1780.3456,42.81511068,77124.0448,51,3054,284,86.77450048,11.76470588,84.53999368,12.14638527,1.145038168,68.5675797,4454,6.376290974,4.939380332,57.62061404,2.026468156,0,0,0,0,0,0,49,1,1,1,0,0,0,1,100,100,100,0,0,0,1988515,0.002239862,economy,100,0,0,0,0,0,100,0,NA,0,NA,0,0,0,0,1,1,0,0,0
8,6081612500,2019,1000_000072,2019_152_00764,KEPLERS BOOKS,BOOKSTORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6503244321,NA,NA,NA,NA,NA,"1010 El Camino Real, Menlo Park, California",NA,NA,San Mateo County,CALIFORNIA,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-2265297.39899168, 308843.254127938)",ROOFTOP,6,81,612500,6125,Census Tract 6125,0,37.455699,-122.177794,G0600810612500,1988514.814,8737.086106,1,0,0,0,0,0,1,6081,41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,Central,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,2702,4443,113676.52,478,2159,1479200.74,1797.228,42.72430534,78416.09,144,3061,163,87.30893932,13.95973154,84.78192658,10.6935123,3.22147651,68.4787472,4470,3.646532438,4.407158837,61.39784946,2.154993784,0.001350439,0.001350439,6,6,0.270087779,12,52,0,0,0,0,0,1,1,0,0,0,0,0,100,1988515,0.002247909,economy,100,0,0,0,0,0,100,0,NA,0,NA,0,0,0,0,0,1,0,0,0
9,6087100700,2018,1000_000078,2018_126_03838,BOOKSHOP SANTA CRUZ,BOOKSTORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8314230900,NA,NA,NA,NA,NA,"1520 Pacific Ave, Santa Cruz, California",NA,NA,Santa Cruz County,CALIFORNIA,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-2266671.75280056, 253561.466568569)",ROOFTOP,6,87,100700,1007,Census Tract 1007,0,36.9772909,-122.0288693,G0600870100700,940252.4486,4261.507272,0.166666667,0,0,0,0,0,1,6087,42100,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area,Central,669112,Santa Cruz,59946,1,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,52,770,1017,36461.0752,319,1107,467660.16,998.976,35.23148743,60434.9504,0,1463,102,83.19783198,2.685950413,55.67606652,16.47727273,0,75.56818182,1936,5.268595041,20.45454545,56.93215339,12.17895609,0,0,0,0,0,0,147,2,2,2,0,0,4,6,33.33333333,33.33333333,33.33333333,0,0,66.66666667,940250,0.002059027,economy,33.33333333,0,33.33333333,16.66666667,0,16.66666667,27.77777778,0,NA,0,NA,0,0,0,0,0,0,0,0,0
10,6087100700,2019,1000_000078,2019_160_01375,BOOKSHOP SANTA CRUZ,BOOKSTORES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8314230900,NA,NA,NA,NA,NA,"1520 Pacific Ave, Santa Cruz, California",NA,NA,Santa Cruz County,CALIFORNIA,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-2266671.75280056, 253561.466568569)",ROOFTOP,6,87,100700,1007,Census Tract 1007,0,36.9772909,-122.0288693,G0600870100700,940252.4486,4261.507272,0.160493827,0,0,0,0,0,1,6087,42100,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area,Central,669112,Santa Cruz,59946,1,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,45,799,1978,37277.3192,350,1159,425861.68,1005.856,35.12192222,60820.2664,0,1532,88,84.6419327,2.23325062,53.26666667,17.36972705,0,76.02977667,2015,4.367245658,18.95781638,55.68075117,11.49425287,0.001769464,0.001769464,3.5,3.5,0.353892821,7,150,4,4,4,0,0,5,9,44.44444444,44.44444444,44.44444444,0,0,55.55555556,940250,0.002143047,economy,33.33333333,0,11.11111111,55.55555556,0,0,43.20987654,0,NA,0,NA,0,0,0,0,0,0,0,0,0
